nm,vap,pvap,tempo,uf
LULA,0,"00,00",07:37:47,ac
JAIR BOLSONARO,0,"00,00",07:37:47,ac
LULA,0,"00,00",07:37:48,al
JAIR BOLSONARO,0,"00,00",07:37:48,al
LULA,0,"00,00",07:37:49,am
JAIR BOLSONARO,0,"00,00",07:37:49,am
LULA,0,"00,00",07:37:49,ap
JAIR BOLSONARO,0,"00,00",07:37:49,ap
LULA,0,"00,00",07:37:49,ba
JAIR BOLSONARO,0,"00,00",07:37:49,ba
LULA,0,"00,00",07:37:49,ce
JAIR BOLSONARO,0,"00,00",07:37:49,ce
LULA,0,"00,00",07:37:49,df
JAIR BOLSONARO,0,"00,00",07:37:49,df
LULA,0,"00,00",07:37:50,es
JAIR BOLSONARO,0,"00,00",07:37:50,es
LULA,0,"00,00",07:37:50,go
JAIR BOLSONARO,0,"00,00",07:37:50,go
LULA,0,"00,00",07:37:50,ma
JAIR BOLSONARO,0,"00,00",07:37:50,ma
LULA,0,"00,00",07:37:50,mg
JAIR BOLSONARO,0,"00,00",07:37:50,mg
LULA,0,"00,00",07:37:50,ms
JAIR BOLSONARO,0,"00,00",07:37:50,ms
LULA,0,"00,00",07:37:51,mt
JAIR BOLSONARO,0,"00,00",07:37:51,mt
LULA,0,"00,00",07:37:51,pa
JAIR BOLSONARO,0,"00,00",07:37:51,pa
LULA,0,"00,00",07:37:51,pb
JAIR BOLSONARO,0,"00,00",07:37:51,pb
LULA,0,"00,00",07:37:52,pe
JAIR BOLSONARO,0,"00,00",07:37:52,pe
LULA,0,"00,00",07:37:52,pi
JAIR BOLSONARO,0,"00,00",07:37:52,pi
LULA,0,"00,00",07:37:52,pr
JAIR BOLSONARO,0,"00,00",07:37:52,pr
LULA,0,"00,00",07:37:52,rj
JAIR BOLSONARO,0,"00,00",07:37:52,rj
LULA,0,"00,00",07:37:52,ro
JAIR BOLSONARO,0,"00,00",07:37:52,ro
LULA,0,"00,00",07:37:52,rr
JAIR BOLSONARO,0,"00,00",07:37:52,rr
LULA,0,"00,00",07:37:53,rn
JAIR BOLSONARO,0,"00,00",07:37:53,rn
LULA,0,"00,00",07:37:53,rs
JAIR BOLSONARO,0,"00,00",07:37:53,rs
LULA,0,"00,00",07:37:53,sc
JAIR BOLSONARO,0,"00,00",07:37:53,sc
LULA,0,"00,00",07:37:53,se
JAIR BOLSONARO,0,"00,00",07:37:53,se
LULA,0,"00,00",07:37:53,sp
JAIR BOLSONARO,0,"00,00",07:37:53,sp
LULA,0,"00,00",07:37:53,to
JAIR BOLSONARO,0,"00,00",07:37:53,to
LULA,0,"00,00",07:37:53,zz
JAIR BOLSONARO,0,"00,00",07:37:53,zz
LULA,0,"00,00",07:37:54,br
JAIR BOLSONARO,0,"00,00",07:37:54,br
LULA,0,"00,00",05:11:27,ac
JAIR BOLSONARO,0,"00,00",05:11:27,ac
LULA,0,"00,00",05:11:27,al
JAIR BOLSONARO,0,"00,00",05:11:27,al
LULA,0,"00,00",05:11:28,am
JAIR BOLSONARO,0,"00,00",05:11:28,am
LULA,0,"00,00",05:11:28,ap
JAIR BOLSONARO,0,"00,00",05:11:28,ap
LULA,0,"00,00",05:11:28,ba
JAIR BOLSONARO,0,"00,00",05:11:28,ba
LULA,0,"00,00",05:11:28,ce
JAIR BOLSONARO,0,"00,00",05:11:28,ce
LULA,0,"00,00",05:11:28,df
JAIR BOLSONARO,0,"00,00",05:11:28,df
LULA,0,"00,00",05:11:29,es
JAIR BOLSONARO,0,"00,00",05:11:29,es
LULA,0,"00,00",05:11:29,go
JAIR BOLSONARO,0,"00,00",05:11:29,go
LULA,0,"00,00",05:11:30,ma
JAIR BOLSONARO,0,"00,00",05:11:30,ma
LULA,0,"00,00",05:11:30,mg
JAIR BOLSONARO,0,"00,00",05:11:30,mg
LULA,0,"00,00",05:11:30,ms
JAIR BOLSONARO,0,"00,00",05:11:30,ms
LULA,0,"00,00",05:11:30,mt
JAIR BOLSONARO,0,"00,00",05:11:30,mt
LULA,0,"00,00",05:11:30,pa
JAIR BOLSONARO,0,"00,00",05:11:30,pa
LULA,0,"00,00",05:11:30,pb
JAIR BOLSONARO,0,"00,00",05:11:30,pb
LULA,0,"00,00",05:11:30,pe
JAIR BOLSONARO,0,"00,00",05:11:30,pe
LULA,0,"00,00",05:11:31,pi
JAIR BOLSONARO,0,"00,00",05:11:31,pi
LULA,0,"00,00",05:11:31,pr
JAIR BOLSONARO,0,"00,00",05:11:31,pr
LULA,0,"00,00",05:11:31,rj
JAIR BOLSONARO,0,"00,00",05:11:31,rj
LULA,0,"00,00",05:11:31,ro
JAIR BOLSONARO,0,"00,00",05:11:31,ro
LULA,0,"00,00",05:11:31,rr
JAIR BOLSONARO,0,"00,00",05:11:31,rr
LULA,0,"00,00",05:11:32,rn
JAIR BOLSONARO,0,"00,00",05:11:32,rn
LULA,0,"00,00",05:11:32,rs
JAIR BOLSONARO,0,"00,00",05:11:32,rs
LULA,0,"00,00",05:11:32,sc
JAIR BOLSONARO,0,"00,00",05:11:32,sc
LULA,0,"00,00",05:11:32,se
JAIR BOLSONARO,0,"00,00",05:11:32,se
LULA,0,"00,00",05:11:32,sp
JAIR BOLSONARO,0,"00,00",05:11:32,sp
LULA,0,"00,00",05:11:32,to
JAIR BOLSONARO,0,"00,00",05:11:32,to
LULA,0,"00,00",05:11:33,zz
JAIR BOLSONARO,0,"00,00",05:11:33,zz
LULA,0,"00,00",05:11:33,br
JAIR BOLSONARO,0,"00,00",05:11:33,br
