id_municipio,id_municipio_tse,aptos
3100104,40010,5706
3100203,40037,18927
3100302,40053,11459
3100401,40070,3537
3100500,40096,8599
3100609,40118,11852
3100708,40134,2379
3100807,40150,4005
3100906,40177,15899
3101003,40193,10297
3101102,40215,19166
3101201,40231,5159
3101300,40258,2473
3101409,40274,2981
3101508,40290,27984
3101607,40312,61203
3101631,40002,5774
3101706,40339,30392
3101805,40355,6485
3101904,40371,15778
3102001,40398,12074
3102050,41661,4302
3102100,40410,10234
3102209,40436,4239
3102308,40452,13078
3102407,40479,4381
3102506,40495,4629
3102605,40517,30400
3102704,40533,7121
3102803,40550,9931
3102852,41688,6722
3102902,40576,9730
3103009,40592,8831
3103108,40614,1775
3103207,40630,2350
3103306,40657,2473
3103405,40673,27968
3103504,40690,89195
3103603,40711,2718
3103702,40738,6798
3103751,40029,6413
3103801,40754,3219
3103900,40770,6447
3104007,40797,79859
3104106,40819,7367
3104205,40835,32220
3104304,40851,11760
3104403,40878,2931
3104452,41700,4852
3104502,40894,13839
3104601,40916,10796
3104700,40932,11334
3104809,40959,4304
3104908,40975,15487
3105004,40991,7113
3105103,41017,19068
3105202,41033,4539
3105301,41050,5262
3105400,41076,24716
3105509,41092,5512
3105608,41114,99119
3105707,41130,5772
3105905,41173,17357
3106002,41190,7948
3106101,41211,3008
3106200,41238,2011672
3106309,41254,19792
3106408,41270,8004
3106507,41297,9055
3106606,41319,4279
3106655,41726,3987
3106705,41335,291366
3106804,41351,3749
3106903,41378,11624
3107000,41394,2461
3107109,41416,32226
3107208,41432,4479
3107307,41459,37149
3107406,41475,38801
3107505,41491,5892
3107604,41513,3527
3107703,41530,5090
3107802,41556,12435
3107901,41572,8916
3108008,41599,15501
3108107,41610,7064
3108206,41637,5022
3108255,41742,8229
3108305,41653,13284
3108404,41670,12897
3108503,41696,5408
3108552,40045,11709
3108602,41718,27158
3108701,41734,4577
3108800,41750,4409
3108909,41777,12754
3109006,41793,32273
3109105,41815,8896
3109204,41831,8455
3109253,41769,4421
3109303,41858,19030
3109402,41874,19475
3109451,41785,5502
3109501,41890,9583
3109600,41912,3528
3109709,41939,9696
3109808,41955,2402
3109907,41971,8714
3110004,41998,34189
3110103,42013,4140
3110202,42030,4573
3110301,42056,10964
3110400,42072,2991
3110509,42099,18290
3110608,42110,21948
3110707,42137,10256
3110806,42153,3377
3110905,42170,12493
3111002,42196,16832
3111101,42218,14721
3111150,41807,4117
3111200,42234,39892
3111309,42250,10099
3111408,42277,6362
3111507,42293,10465
3111606,42315,20717
3111705,42331,4319
3111804,42358,8806
3111903,42374,4763
3112000,42390,12153
3112059,41823,3757
3112109,42412,4310
3112208,42439,4457
3112307,42455,29421
3112406,42471,5714
3112505,42498,8143
3112604,42510,11501
3112653,40061,4071
3112703,42536,12475
3112802,42552,7836
